code	vendor_flag	submitted_at	submitted_year	submitted_num	max_qubit_count	vendor_id	thema_ids	subject_ids	title	comments
2212.03937	TRUE	2022/12/7 20:03	2022	449028354	11	IBM	E		Single-shot error mitigation by coherent Pauli checks	
2211.04728	TRUE	2022/11/9 7:54	2022	448743295	17	Google		1	Overcoming leakage in scalable quantum error correction	
2211.01275	TRUE	2022/11/2 16:59	2022	448677078	23	IonQ		"1,58,3,7"	Continuous Symmetry Breaking in a Trapped-Ion Spin Chain	
2210.10799	TRUE	2022/10/19 18:00	2022	448537500	20	Google		1	Purification-based quantum error mitigation of pair-correlated electron   simulations	
2210.10255	TRUE	2022/10/19 2:28	2022	448531032	25	Google		"1,8,60"	Observation of non-Abelian exchange statistics on a superconducting   processor	
2209.14316	TRUE	2022/9/28 18:00	2022	448327500	11	IonQ		"1,60"	Experimental Implementation of an Efficient Test of Quantumness	
2209.12889	TRUE	2022/9/26 17:59	2022	448307493	20	Quantinuum		"1,3,7"	Characterizing a non-equilibrium phase transition on a quantum computer	
2209.05509	TRUE	2022/9/12 18:01	2022	448167507	10	IonQ		"1,3"	Engineering dynamically decoupled quantum simulations with trapped ions	
2208.01863	TRUE	2022/8/3 6:20	2022	447762640	16	Quantinuum		1	Implementing Fault-tolerant Entangling Gates on the Five-qubit Code and   the Color Code	
2207.06431	TRUE	2022/7/13 18:00	2022	447557500	49	Google		1	Suppressing quantum errors by scaling a surface code logical qubit	
2206.08811	TRUE	2022/6/17 14:42	2022	447296131	16	Quantinuum	3	1	Spectral analysis for noise diagnostics and filter-based digital error   mitigation	
2206.05254	TRUE	2022/6/10 17:52	2022	447227447	24	Google		"1,8,60"	Formation of robust bound states of interacting microwave photons	
2204.11372	TRUE	2022/4/24 22:34	2022	446759404	47	Google		"1,8,60"	Noise-resilient Edge Modes on a Chain of Superconducting Qubits	
2204.09725	TRUE	2022/4/20 18:13	2022	446717590	5	IBM	3	1	Volumetric Benchmarking of Error Mitigation with Qermit	
2112.05156	TRUE	2021/12/9 19:00	2021	445397916	11	IonQ		"1,60"	Interactive Protocols for Classically-Verifiable Quantum Advantage	
2112.02025	TRUE	2021/12/3 17:14	2021	445337182	16	Google		"1,43,7"	Observing ground-state properties of the Fermi-Hubbard model using a   scalable algorithm on a quantum computer	
2112.00778	TRUE	2021/12/1 19:04	2021	445317949	40	Google		"1,17,18"	Quantum advantage in learning from experiments	
2111.15605	TRUE	2021/11/30 17:56	2021	445307474	16	Rigetti		"1,18"	Synthetic weather radar using hybrid quantum-classical machine learning	
2109.13298	TRUE	2021/9/27 18:36	2021	444667753	4	IonQ		"1,24"	Digital quantum simulation of NMR experiments	
2108.12518	TRUE	2021/8/27 22:29	2021	444359374	42	IBM		1	Scalable mitigation of measurement errors on quantum computers	
2108.09197	TRUE	2021/8/20 14:32	2021	444286057	26	IBM		"1,8"	Scalable error mitigation for noisy quantum circuits produces   competitive expectation values	
2107.13571	TRUE	2021/7/28 18:00	2021	444057500	21	Google		"1,2,3,7"	Observation of Time-Crystalline Eigenstate Order on a Quantum Processor	
2107.11387	TRUE	2021/7/23 18:00	2021	444007500	13	IonQ		1	Cross-Platform Comparison of Arbitrary Quantum Computations	
2107.07505	TRUE	2021/7/15 17:57	2021	443927485	10	Quantinuum		1	Realization of real-time fault-tolerant quantum error correction	
